ID,Title,Author,Size,Duration,Download URL
0B3DMcbXqihCAci1maGdfZ1prRk0,Body Scan,Mark Williams,56955696,39:33,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAci1maGdfZ1prRk0
0B3DMcbXqihCAS0x5NnNuYVFZdFE,Breath & Body,Mark Williams,11954777,08:18,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAS0x5NnNuYVFZdFE
0B3DMcbXqihCAU2J1OTA1c295dHc,Body Scan,Rebecca Crane,19358717,13:26,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAU2J1OTA1c295dHc
0B3DMcbXqihCAM3ZIdHlNdURHWWs,Breath & Body,Rebecca Crane,9367821,06:30,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAM3ZIdHlNdURHWWs
0B3DMcbXqihCAWEk3c2tmLWYxNDg,Sounds & Thoughts,Mark Williams,11594291,08:03,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAWEk3c2tmLWYxNDg
0B3DMcbXqihCAb1pLUHVlVWpsSDg,3-Step Breathing Space,Mark Williams,4993266,03:28,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAb1pLUHVlVWpsSDg
0B3DMcbXqihCAQjc3TTV1bWNQOFU,Sounds & Thoughts,Bangor CMRP,14434113,09:53,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAQjc3TTV1bWNQOFU
0B3DMcbXqihCAUkhpTXVockVWc2c,3-Step Breathing Space,Rebecca Crane,5138492,03:34,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAUkhpTXVockVWc2c
0B3DMcbXqihCANkxKUlBCUkRDMFU,Mindful Walking,Rebecca Crane,12866766,08:56,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCANkxKUlBCUkRDMFU
0B3DMcbXqihCAei10Y1h1UDRDdmM,Sitting Meditation (open),Rebecca Crane,59112383,41:02,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAei10Y1h1UDRDdmM
0B3DMcbXqihCAWmwzT2dPTVQyMTg,Sitting Meditation (open),Mark Williams,56331210,39:07,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCAWmwzT2dPTVQyMTg
0B3DMcbXqihCANGl5STNNQU02Vnc,Exploring the Difficult,Mark Williams,32708132,22:42,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCANGl5STNNQU02Vnc
0B3DMcbXqihCANEw1c1VnTmdkbHM,"30 minute silent sitting, with bells",,44173706,30:40,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCANEw1c1VnTmdkbHM
0B3DMcbXqihCATklNbUVBYWtTQXM,Compassion & Befriending,Mark Williams,13854398,09:37,https://drive.google.com/uc?export=download&id=0B3DMcbXqihCATklNbUVBYWtTQXM
